image_id,image_type,eyes_crown,eyes_base,ratio_eyes,snout_back,crown_base,ratio_head,year,exact,source
103,front,110,111,0.990990991,NA,NA,NA,2006,1,Steiff
104,front,119,155,0.767741936,NA,NA,NA,2000,1,Etsy
105,front ,116,141,0.822695036,NA,NA,NA,2001,1,Etsy
106,front,229,376,0.609042553,NA,NA,NA,2000,1,Etsy
107,front,135,163,0.828220859,NA,NA,NA,2000,1,Ebay
108,front,139,162,0.858024691,NA,NA,NA,2000,1,Etsy
109,front,126,147,0.857142857,NA,NA,NA,2000,1,Ebay
110,front,243,215,1.130232558,NA,NA,NA,2006,1,Etsy
111,side,NA,NA,NA,282,291,0.969072165,2004,1,Etsy
112,front,189,300,0.63,NA,NA,NA,2004,1,Etsy
113,front,221,225,0.982222222,NA,NA,NA,2007,1,Ebay
114,front,71,82,0.865853659,NA,NA,NA,2010,1,Etsy
115,side,NA,NA,NA,293,221,1.325791855,2002,1,Etsy
116,front,206,259,0.795366795,NA,NA,NA,2002,1,Etsy
117,side,NA,NA,NA,308,275,1.12,2004,1,Etsy
118,front,193,217,0.889400922,NA,NA,NA,2004,1,Etsy
119,front,173,203,0.852216749,NA,NA,NA,2003,1,Etsy
120,front ,204,328,0.62195122,NA,NA,NA,2002,1,Etsy
121,front ,207,192,1.546875,NA,NA,NA,2009,1,Etsy
122,side,NA,NA,NA,436,352,1.238636364,2009,1,Etsy
123,side,NA,NA,NA,279,268,1.041044776,2005,1,Etsy
124,front,105,161,0.652173913,NA,NA,NA,2005,1,Etsy
125,front,111,98,1.132653061,NA,NA,NA,2005,1,Etsy
126,side,NA,NA,NA,277,232,1.193965517,2005,1,Etsy
127,front,127,146,0.869863014,NA,NA,NA,2008,1,Etsy
128,side,NA,NA,NA,337,327,1.03058104,2008,1,Etsy
129,front,192,160,1.2,NA,NA,NA,2009,1,Etsy
130,front,176,147,1.181208054,NA,NA,NA,2010,1,Etsy
131,front,218,187,1.165775401,NA,NA,NA,2007,1,Etsy
132,front ,320,323,0.990712074,NA,NA,NA,2010,1,Etsy
133,front,192,212,0.905660377,NA,NA,NA,2010,1,Etsy
134,front,148,239,0.619246862,NA,NA,NA,2001,1,Etsy
135,front,174,180,0.966666667,NA,NA,NA,2003,1,Etsy
136,side,NA,NA,NA,303,345,0.87826087,2001,1,Etsy
137,front,109,234,0.465811966,NA,NA,NA,2001,1,Etsy
138,front,260,326,0.797546012,NA,NA,NA,2001,1,Etsy
139,side,NA,NA,NA,448,313,1.431309904,2007,1,Etsy
140,front,438,446,0.98206278,NA,NA,NA,2007,1,Etsy
141,side,NA,NA,NA,373,326,1.144171779,2008,1,Etsy
142,front,223,320,0.696875,NA,NA,NA,2008,1,Etsy
143,front,134,208,0.644230769,NA,NA,NA,2008,1,Etsy
144,side,NA,NA,NA ,413,347,1.190201729,2010,1,Etsy
145,side,NA,NA,NA ,420,418,1.004784689,2003,1,Etsy
146,front,246,167,1.473053892,NA,NA,NA,2003,1,Etsy
147,side,NA,NA,NA,290,231,1.255411255,2004,1,Etsy
148,side,NA,NA,NA,293,246,1.191056911,2004,1,Etsy
149,side,NA,NA,NA,233,246,0.947154472,2005,1,Etsy
150,front,183,201,0.910447761,NA,NA,NA,2005,1,Etsy
414,front,99,103,0.961165,NA,NA,NA,1992,1,ebay
678,side,NA,NA,NA,1102,926,1.19,1994,1,Etsy
1157,front,50,108,0.462963,NA,NA,NA,1987,1,ebay
1833,side,NA,NA,NA,203,167,1.215569,1997,1,ebay
